Time,u1,u2,u3,u4
2000-11-15 14:15,-0.18478,0.71368,-0.23848,-1.4082
2000-12-19 14:15,0.96747,0.02717,0.56641,-0.69702
2001-01-03 13:15,-5.73021,0.28467,-0.00466,8.77182
2001-01-31 14:15,0.43831,0.20357,0.37347,-0.78934
2001-03-20 14:15,0.83352,-1.29144,0.91154,-1.56843
2001-04-18 10:55,-6.99419,-0.67438,0.38057,2.37175
2001-05-15 14:15,-1.47366,-1.23728,0.71241,-0.23484
2001-06-27 14:12,1.5121,0.90492,-0.79109,-0.37047
2001-08-21 14:15,0.68168,-0.53396,0.92774,-1.36205
2001-10-02 14:15,-0.50735,-0.42986,1.11611,-0.89558
2001-11-06 14:20,-2.08566,-1.07819,0.31521,0.09529
2001-12-11 14:14,-0.11398,-1.46524,0.0256,-0.34371
2002-01-30 14:15,0.26566,0.13449,-0.46047,-0.08326
2002-03-19 14:15,-0.51595,-0.29778,-0.29082,-1.38005
2002-05-07 14:15,0.08323,-0.38559,0.18942,-0.87182
2002-06-26 14:15,0.05683,0.19978,0.58204,-0.78453
2002-08-13 14:15,0.49147,-1.77394,0.40296,-2.25854
2002-09-24 14:15,0.25968,0.33566,0.09967,-2.11517
2002-11-06 14:14,-3.18941,1.59183,-0.50178,-1.89561
2002-12-10 14:15,-0.01124,0.48268,0.18123,-0.34781
2003-01-29 14:16,0.12691,0.6361,0.05744,0.88825
2003-03-18 14:15,0.34386,-0.11211,-0.1345,-1.04532
2003-05-06 14:13,0.23433,-2.18022,0.39239,-0.83702
2003-06-25 14:15,2.02731,0.33907,-0.1128,0.55985
2003-08-12 14:15,0.0531,-0.72599,-0.38496,-0.80312
2003-09-16 14:19,-0.07947,-0.19193,-0.20863,-0.00335
2003-10-28 14:15,-0.05328,-1.99095,-0.67932,-1.64689
2003-12-09 14:15,-0.04483,0.94815,2.08715,1.20157
2004-01-28 14:15,-0.01409,4.00938,1.93794,1.17868
2004-03-16 14:15,-0.01267,-1.27911,-0.63363,-1.242
2004-05-04 14:15,-0.11325,-0.29412,0.56824,0.89849
2004-06-30 14:15,-0.10162,-0.35262,0.50612,0.59905
2004-08-10 14:15,0.21667,1.0216,-0.18387,-0.05971
2004-09-21 14:15,-0.00286,-0.10833,-0.79332,-0.33743
2004-11-10 14:15,0.00096,-0.69001,-0.21877,-0.25431
2004-12-14 14:15,0.00065,-0.18779,-0.3242,-0.10042
2005-02-02 14:15,-0.08401,-0.08599,-0.38788,-0.21064
2005-03-22 14:15,0.00024,1.27695,2.12716,0.90371
2005-05-03 14:15,0.00932,0.5381,-0.317,0.6107
2005-05-03 16:00,0.01591,-0.7334,-0.61659,0.40455
2005-06-30 14:15,-0.01582,1.28077,-0.53377,-0.41446
2005-08-09 14:15,0.00643,-0.45532,-0.34888,0.08438
2005-09-20 14:15,0.45274,0.274,-0.50409,-0.20617
2005-11-01 14:15,0.01033,0.10186,-0.22753,0.51402
2005-12-13 14:15,0.01981,-0.87651,-0.28885,0.60958
2006-01-31 14:14,0.07173,0.67813,0.51479,0.1323
2006-03-28 14:15,0.05572,1.19699,0.62844,-0.45503
2006-05-10 14:15,-0.00196,1.13501,0.27834,0.38395
2006-06-29 14:15,-0.20924,-1.0873,0.11206,0.5784
2006-08-08 14:15,-0.63162,-0.07984,0.48951,-0.72933
2006-09-20 14:15,-0.0097,0.57194,0.07814,-0.25651
