Time,u1,u2,u3,u4
2000-12-19 14:15,6.35143,0.11457,1.49478,-1.19494
2001-01-03 13:15,-37.61865,1.2006,-0.01231,15.03807
2001-01-31 14:15,2.87752,0.85856,0.98559,-1.35321
2001-03-20 14:15,5.47202,-5.44661,2.40559,-2.68886
2001-04-18 10:55,-45.91664,-2.84417,1.00435,4.06603
2001-05-15 14:15,-9.67454,-5.2182,1.88007,-0.40259
2001-06-27 14:12,9.92687,3.81646,-2.0877,-0.63511
2001-08-21 14:15,4.4752,-2.25197,2.44833,-2.33504
2001-10-02 14:15,-3.33076,-1.81291,2.94544,-1.53534
2001-11-06 14:20,-13.6923,-4.54725,0.83184,0.16336
2001-12-11 14:14,-0.74826,-6.17962,0.06756,-0.58924
2002-01-30 14:15,1.74406,0.56719,-1.2152,-0.14273
2002-03-19 14:15,-3.38719,-1.25586,-0.76749,-2.3659
2002-05-07 14:15,0.54643,-1.6262,0.49989,-1.49462
2002-06-26 14:15,0.3731,0.84256,1.53602,-1.34497
2002-08-13 14:15,3.22648,-7.48155,1.06344,-3.87195
2002-09-24 14:15,1.70478,1.41563,0.26304,-3.62617
2002-11-06 14:14,-20.9384,6.7135,-1.3242,-3.24975
2002-12-10 14:15,-0.07377,2.0357,0.47828,-0.59628
2003-01-29 14:16,0.83316,2.68275,0.15158,1.52279
2003-03-18 14:15,2.25743,-0.47282,-0.35495,-1.79205
2003-05-06 14:13,1.53838,-9.19504,1.03553,-1.43496
2003-06-25 14:15,13.30921,1.43,-0.29769,0.95979
2003-08-12 14:15,0.34862,-3.06184,-1.01592,-1.37684
2003-09-16 14:19,-0.52173,-0.80947,-0.55058,-0.00574
2003-10-28 14:15,-0.34977,-8.39678,-1.79273,-2.82336
2003-12-09 14:15,-0.2943,3.99879,5.50805,2.05992
2004-01-28 14:15,-0.09251,16.90944,5.11428,2.02068
2004-03-16 14:15,-0.08316,-5.39463,-1.67216,-2.12923
2004-05-04 14:15,-0.74346,-1.24043,1.4996,1.54034
2004-06-30 14:15,-0.66711,-1.48718,1.33566,1.02698
2004-08-10 14:15,1.42244,4.30857,-0.48524,-0.10236
2004-09-21 14:15,-0.01879,-0.45686,-2.0936,-0.57848
2004-11-10 14:15,0.00632,-2.91008,-0.57733,-0.43599
2004-12-14 14:15,0.00429,-0.79202,-0.85558,-0.17215
2005-02-02 14:15,-0.55152,-0.36267,-1.02363,-0.36112
2005-03-22 14:15,0.00159,5.3855,5.61365,1.54929
2005-05-03 14:15,0.06116,2.26944,-0.83658,1.04696
2005-05-03 16:00,0.10448,-3.09311,-1.62719,0.69355
2005-06-30 14:15,-0.10387,5.40163,-1.40863,-0.71053
2005-08-09 14:15,0.04223,-1.9203,-0.9207,0.14466
2005-09-20 14:15,2.97223,1.15557,-1.3303,-0.35345
2005-11-01 14:15,0.0678,0.42961,-0.60045,0.88121
2005-12-13 14:15,0.13007,-3.69664,-0.76229,1.04503
2006-01-31 14:14,0.4709,2.86001,1.35856,0.2268
2006-03-28 14:15,0.36577,5.04826,1.65848,-0.78009
2006-05-10 14:15,-0.01284,4.78686,0.73454,0.65823
2006-06-29 14:15,-1.37368,-4.58567,0.29572,0.99159
